v,a
30001,0.21362257117243727
30002,0.5356746442721204
30003,0.041250189683554664
30004,0.6039194442334127
30005,0.39016578818886766
30006,0.10338157567664655
30007,0.6810724984859066
30008,0.27643808921487517
30009,0.5734843272875907
30010,0.471893334766434
30011,0.6143105831662232
30012,0.7228558983831889
30013,0.28214589280163915
30014,0.3425528051891959
30015,0.21688001540856894
30016,0.21722592663085397
30017,0.2664153401546994
30018,0.6196150861006277
30019,0.4867968087341869
30020,0.6487615441474386
30021,0.4713813534808815
30022,0.6883576509027026
30023,0.7285939594033508
30024,0.16228704231066257
30025,0.2671751261373897
30026,0.3169303507228094
30027,0.31501049456808433
30028,0.5536496959284258
30029,0.6488073594197832
30030,0.14380665424030928
30031,0.3171717995537176
30032,0.2603835152066288
30033,0.26604266232313933
30034,0.10267570669755535
30035,0.6899992941765251
30036,0.7246810932132742
30037,0.3742423195378114
30038,0.586242788351976
30039,0.2161809582495339
30040,0.4120885874253321
30041,0.37181453969493533
30042,0.6436162681335459
30043,0.519079006386041
30044,0.5174808857631452
30045,0.48718121481131815
30046,0.15748152104443483
30047,0.7042458274507224
30048,0.5653937265657623
30049,0.0673224672237727
30050,0.3009610016589678
30051,0.4895605257188499
30052,0.27249505667308516
30053,0.471670838513764
30054,0.10353542334032333
30055,0.4494182690759851
30056,0.5042552407511461
30057,0.12022099819092752
30058,0.24658983006379354
30059,0.29275426596396664
30060,0.45530303558944796
30061,0.37673833793733386
30062,0.4914482703800437
30063,0.40838683391884645
30064,0.5781105839540189
30065,0.3047239524561038
30066,0.221182912558202
30067,0.6863850393359654
30068,0.1371355402533093
30069,0.21232047453526753
30070,0.4831200578122862
30071,0.06359585843782191
30072,0.6973634094107959
30073,0.15201192312422065
30074,0.17029815526357106
30075,0.8203008743066775
30076,0.16684087055027608
30077,0.19452248838055125
30078,0.34997735145748754
30079,0.7498184944875983
30080,0.6229959795840065
30081,0.10766712722936589
30082,0.31368645421548247
30083,0.374472898278345
30084,0.5085555411980386
30085,0.4914482703800437
30086,0.5527191203352658
30087,0.556384268116891
30088,0.3669435517351217
30089,0.668078881330431
30090,0.48732494262326764
30091,0.4627979695107967
30092,0.4493628595128262
30093,0.45363653428695266
30094,0.2975548665966364
30095,0.23261658717488168
30096,0.7839787850471879
30097,0.48606918409730215
30098,0.5826789524887778
30099,0.6480225617794456
30100,0.23497873006762185
30101,0.4345865669920128
30102,0.4914482703800437
30103,0.587834489732205
30104,0.09804301261104784
30105,0.5653937265657623
30106,0.1747667398394933
30107,0.6278785173540608
30108,0.4859234011746356
